State,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
MANIPUR,,2024-25,0,9.04,90.96,6.63,88.55,4.82,0.3,7.12,92.58,1.47,88.56,9.97,15.02,27.3,57.68,34.22,65.78,95.78,4.22,98.5,1.5,98.17,1.83,100,0,100,0,99.66,0.34
MEGHALAYA,,2024-25,1.12,52.72,46.16,16.69,36.67,46.64,16.9,65.9,17.2,82.6,13.1,4.3,0.03,55.15,44.82,99.94,0.06,56.23,43.77,86.85,13.15,67.25,32.75,91.13,8.87,42.82,57.18,86.25,13.75
MIZORAM,,2024-25,0.14,11.75,88.11,9.56,77.22,13.22,12.18,40.68,47.14,85.7,8.31,5.99,0.01,54.11,45.88,49.24,50.76,82.83,17.17,91.96,8.04,93.52,6.48,99.87,0.13,81.91,18.09,91.2,8.8
NAGALAND,,2024-25,13.65,55.97,30.38,26.48,41.75,31.77,20.01,54.54,25.45,63.85,21.13,15.02,0.05,74.88,25.07,97.99,2.01,56.98,43.02,73.02,26.98,81.8,18.2,88.83,11.17,89.24,10.76,73.65,26.35
ODISHA,,2024-25,2.3,28.66,69.03,29.96,44.18,25.86,21.38,61.47,17.16,15.39,35.06,49.56,0.1,29.9,70,99.19,0.81,63.83,36.17,86.45,13.55,56.52,43.48,89.16,10.84,42.43,57.57,87.07,12.93
PUDUCHERRY,,2024-25,0,0,100,65.93,29.1,4.97,28.7,45.57,25.73,49.7,32,18.3,3.67,2.1,94.23,87.06,12.94,0,0,98.6,1.4,87.13,12.87,98.27,1.73,0,0,99.57,0.43
PUNJAB,,2024-25,0.03,9.52,90.45,29.45,33.24,37.31,17.82,27.96,54.22,15.49,41.32,43.19,9.56,1.78,88.66,94.39,5.61,90.93,9.07,79.67,20.33,88.92,11.08,98.57,1.43,28.18,71.82,53.42,46.58
RAJASTHAN,,2024-25,0.29,0.63,99.08,69.11,27.02,3.87,51.62,45.48,2.9,3.29,13.62,83.08,12.05,0.03,87.92,93.4,6.6,92.77,7.23,50.49,49.51,44.04,55.96,96.72,3.28,94.88,5.12,95.14,4.86
SIKKIM,,2024-25,3.47,64.57,31.95,72.57,25.61,1.82,30.42,61.97,7.61,59.63,25.61,14.77,0.1,45.76,54.15,98.21,1.79,92.21,7.79,94.49,5.51,97.05,2.95,99.13,0.87,83.96,16.04,77.05,22.95
TAMIL NADU,,2024-25,0.05,0.54,99.42,35.82,43.08,21.1,45.61,43.21,11.17,2.66,9.59,87.75,4.42,2.32,93.27,97.94,2.06,63.61,36.39,61.31,38.69,58.4,41.6,97.13,2.87,53.85,46.15,71.46,28.54
TELANGANA,,2024-25,2.3,16.52,81.18,88.27,9.19,2.54,48.19,37.36,14.46,14.48,27.88,57.64,4.91,1.43,93.66,98.28,1.72,81.82,18.18,50.68,49.32,55.42,44.58,83.09,16.91,63.59,36.41,75.12,24.88
TRIPURA,,2024-25,0.05,42.54,57.41,18.88,80.57,0.55,0.11,92.85,7.04,33.85,29.54,36.61,0.04,82.12,17.84,99.22,0.78,95.4,4.6,86,14,63.46,36.54,98.13,1.87,81.11,18.89,99.27,0.73
UTTAR PRADESH,,2024-25,0.13,1.86,98.01,15.3,61.69,23.02,10.66,80.15,9.19,1.45,11.8,86.76,1.33,0.09,98.58,98.7,1.3,66.13,33.87,76.18,23.82,67.38,32.62,95.72,4.28,68.66,31.34,92.04,7.96
UTTARAKHAND,,2024-25,0.22,8.02,91.75,39.91,43.16,16.93,26.15,53.79,20.06,55.68,25.29,19.03,0.1,3.51,96.39,92.16,7.84,76.59,23.41,86.6,13.4,85.78,14.22,95.72,4.28,78.07,21.93,84.44,15.56
WEST BENGAL,,2024-25,1.79,54.09,44.13,73.23,20.08,6.69,33.71,52.61,13.68,34.05,41.37,24.58,0.08,28.37,71.55,93.94,6.06,62.2,37.8,98.6,1.4,74.64,25.36,97.94,2.06,37.69,62.31,88.79,11.21
